IDMessage;Battery;Value;Delta;Origin
0;B5;1.53;0.00;1.530
watts;; 154.64;;
amps;;29.86;;
0;B0;1.54;0.00;1.540
0;B1;0.97;0.00;0.970
0;B2;1.73;0.00;1.730
0;B3;1.70;0.00;1.700
0;B4;1.58;0.00;1.580
0;B5;1.74;0.00;1.740
watts;; 160.89;;
amps;;17.31;;
0;B0;1.53;0.00;1.530
0;B1;0.97;0.00;0.970
0;B2;1.74;0.00;1.740
0;B3;1.71;0.00;1.710
0;B4;1.59;0.00;1.590
0;B5;1.73;0.00;1.730
watts;; 165.99;;
amps;;19.37;;
0;B0;1.21;0.00;1.210
0;B1;0.48;0.00;0.480
0;B2;1.47;0.00;1.470
0;B3;1.43;0.00;1.430
0;B4;1.26;0.00;1.260
0;B5;1.44;0.00;1.440
watts;; 169.79;;
amps;;28.36;;
0;B0;1.21;0.00;1.210
0;B1;0.55;0.00;0.550
0;B2;1.48;0.00;1.480
0;B3;1.46;0.00;1.460
0;B4;1.28;0.00;1.280
0;B5;1.47;0.00;1.470
watts;; 173.56;;
amps;;27.86;;
0;B0;1.23;0.00;1.230
0;B1;0.59;0.00;0.590
0;B2;1.49;0.00;1.490
0;B3;1.48;0.00;1.480
0;B4;1.32;0.00;1.320
0;B5;1.47;0.00;1.470
watts;; 177.01;;
amps;;26.98;;
0;B0;1.45;0.00;1.450
0;B1;0.85;0.00;0.850
0;B2;1.68;0.00;1.680
0;B3;1.64;0.00;1.640
0;B4;1.50;0.00;1.500
0;B5;1.64;0.00;1.640
watts;; 183.89;;
amps;;19.26;;
0;B0;2.12;0.00;2.120
0;B1;1.84;0.00;1.840
0;B2;2.26;0.00;2.260
0;B3;2.23;0.00;2.230
0;B4;2.19;0.00;2.190
0;B5;2.23;0.00;2.230
watts;; 185.23;;
amps;; 3.20;;
0;B0;2.50;0.00;2.500
0;B1;2.31;0.00;2.310
0;B2;2.57;0.00;2.570
0;B3;2.51;0.00;2.510
0;B4;2.50;0.00;2.500
0;B5;2.58;0.00;2.580
watts;; 190.00;;
amps;; 0.00;;
0;B0;2.24;0.00;2.240
0;B1;1.99;0.00;1.990
0;B2;2.36;0.00;2.360
0;B3;2.36;0.00;2.360
0;B4;2.32;0.00;2.320
0;B5;2.35;0.00;2.350
watts;; 190.53;;
amps;; 0.00;;
0;B0;1.40;0.00;1.400
0;B1;0.76;0.00;0.760
0;B2;1.65;0.00;1.650
0;B3;1.60;0.00;1.600
0;B4;1.46;0.00;1.460
0;B5;1.63;0.00;1.630
watts;; 194.34;;
amps;;23.98;;
0;B0;2.61;0.00;2.610
0;B1;2.50;0.00;2.500
0;B2;2.66;0.00;2.660
0;B3;2.62;0.00;2.620
0;B4;2.62;0.00;2.620
0;B5;2.64;0.00;2.640
watts;; 197.52;;
amps;; 0.00;;
0;B0;1.25;0.00;1.250
0;B1;0.60;0.00;0.600
0;B2;1.53;0.00;1.530
0;B3;1.50;0.00;1.500
0;B4;1.32;0.00;1.320
0;B5;1.48;0.00;1.480
watts;; 200.09;;
amps;;25.75;;
0;B0;2.56;0.00;2.560
0;B1;2.42;0.00;2.420
0;B2;2.61;0.00;2.610
0;B3;2.57;0.00;2.570
0;B4;2.55;0.00;2.550
0;B5;2.62;0.00;2.620
watts;; 204.27;;
amps;; 0.00;;
0;B0;2.60;0.00;2.600
0;B1;2.49;0.00;2.490
0;B2;2.67;0.00;2.670
0;B3;2.61;0.00;2.610
0;B4;2.61;0.00;2.610
0;B5;2.66;0.00;2.660
watts;; 205.06;;
amps;; 0.00;;
0;B0;2.32;0.00;2.320
0;B1;2.09;0.00;2.090
0;B2;2.42;0.00;2.420
0;B3;2.39;0.00;2.390
0;B4;2.34;0.00;2.340
0;B5;2.43;0.00;2.430
watts;; 206.08;;
amps;; 0.00;;
0;B0;1.24;0.00;1.240
0;B1;0.56;0.00;0.560
0;B2;1.52;0.00;1.520
0;B3;1.48;0.00;1.480
0;B4;1.31;0.00;1.310
0;B5;1.46;0.00;1.460
watts;; 209.07;;
amps;;30.36;;
0;B0;2.11;0.00;2.110
0;B1;1.82;0.00;1.820
